Name,Race No,Overall Pos,Cat Pos,Net Time,Gender,Category,Status,Wave,Team,Erg Bike,Row Erg,Burden Run,Deadball Power Trip,Sandbag Hoist,Sled Push & Pull,Burpee to Plate,Cruciball Chamber,Run,Ski Erg,Lactic Legs,Cruci-Haul,Member1,Member2,Member3,Member4
OLD WHITE BOYS,H645,1,1,00:20:35,Male,30-44,Finished,Heat1 17:30,N/A,00:01:33,00:01:52,00:01:51,00:03:26,00:01:10,00:02:07,00:03:04,00:00:59,00:02:43,00:02:45,00:01:26,00:00:56,Gabe Heck,Luke Hastings,James Hogg,Alex Winslow
CRUCIBOYZ,H648,2,2,00:25:09,Male,30-44,Finished,Heat1 17:30,N/A,00:02:11,00:01:52,00:01:59,00:03:27,00:01:28,00:03:15,00:03:16,00:01:45,00:03:04,00:03:10,00:01:31,00:01:29,Dan Larmour,Thanaset Pitithanarat,Shannon Whitehead,Eric Chan
PANDA BROS,H647,3,3,00:25:57,Male,30-44,Finished,Heat1 17:30,N/A,00:02:00,00:02:42,00:02:35,00:03:17,00:01:13,00:03:06,00:03:28,00:01:25,00:03:15,00:03:06,00:01:40,00:01:26,Sitthiporn Maliwan,Tanachai Wongthai,Prajak Sukaram,Placeholder Placeholder
SODA POP,H641,4,4,00:27:46,Male,30-44,Finished,Heat1 17:30,N/A,00:02:19,00:02:45,00:02:12,00:03:34,00:01:33,00:03:34,00:03:12,,00:24:50,00:02:57,00:01:44,00:01:31,Tanapoom Viboonlarp,Ekgarak Kanwattanee,Thanaphat Phongsapan,supakdee puengpracha
SONICBEAM,H646,5,5,00:28:04,Male,30-44,Finished,Heat1 17:30,N/A,00:02:12,00:02:25,00:03:35,00:03:55,00:01:18,00:03:03,00:02:53,00:01:23,00:03:30,00:03:29,00:01:58,00:01:40,Thapthep Mahathai,Sathit Karoonram,Kritsada Chayinram,Treetases tunprasert
THE HYBREEDS ALPHA,H643,6,1,00:28:42,Male,U30's,Finished,Heat1 17:30,N/A,00:03:11,00:02:45,00:02:25,00:03:48,00:01:30,00:03:23,00:03:37,00:01:35,00:03:50,00:02:55,00:01:27,00:01:37,Zahirul Darwish Zarul Azni,Muhammad Edzwan bin Mohd Halimi,Nabil Alias,Ammierul Muhammad
TIRE KICKERS,H644,7,6,00:32:44,Male,30-44,Finished,Heat1 17:30,N/A,00:02:24,00:03:22,00:02:33,00:06:29,00:01:20,00:04:27,00:03:02,00:01:46,00:03:18,00:03:46,00:01:51,00:01:53,Hezekyah Huang,Vit Mrz,Ittichai Nimma,Ratchakorn Saowarat
FREE FLÖW,H642,8,7,00:35:21,Male,30-44,Finished,Heat1 17:30,N/A,00:02:18,00:02:55,00:02:37,00:04:17,00:01:41,00:03:34,00:04:50,00:02:59,00:04:06,00:04:36,00:02:30,00:02:21,Korrawit Jiwsawat,Pongnarin Phanomwan Na Ayutthaya,Thanutchai Saengsuratham,Arthit Meemaitree
