Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Member1,Member2,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,50253,Peak365,00:20:51,, ,,"Mark Cleaver
Naphongpuck Chiwaruck","Toblas Kullak
Sfeuen Buchet",0:00:00,00:01:33,00:02:58,00:05:13,00:06:51,00:08:36,00:12:36,00:13:56,00:15:04,00:16:55,00:18:41,00:19:46,00:20:51,00:01:33,00:01:25,00:02:15,00:01:38,00:01:45,00:04:00,00:01:20,00:01:08,00:01:51,00:01:46,00:01:05,00:01:05
2,6301,MAS/THA,00:22:45,, ,,"Harneshpal Singh Bhullar
Sinthu Kosasih","Noppong Chaipukdee
Mohd Saddam Bin Mohd Pittli",0:00:00,00:01:24,00:02:58,00:05:29,00:07:12,00:08:55,00:13:41,00:14:51,00:17:09,00:19:37,00:20:50,00:21:51,00:22:45,00:01:24,00:01:34,00:02:31,00:01:43,00:01:43,00:04:46,00:01:10,00:02:18,00:02:28,00:01:13,00:01:01,00:00:54
3,6291,PPMacSunnyVin,00:32:20,, ,,"Kavin Buspabutr
Lertsak Tangkiatlert","Peerawat Nabangchang
Chidchanok Sharma",0:00:00,00:01:33,00:03:45,00:07:09,00:09:03,00:11:36,00:17:01,00:18:50,00:20:59,00:25:04,00:28:15,00:29:38,00:32:20,00:01:33,00:02:12,00:03:24,00:01:54,00:02:33,00:05:25,00:01:49,00:02:09,00:04:05,00:03:11,00:01:23,00:02:42
3,6261,TOCR OG's,00:32:20,+00:30, ,,"Pinlawat Sriprachan
Greg Lowe","Colin Pugh
Stephen Somanader",0:00:00,00:01:31,00:03:55,00:08:42,00:11:18,00:13:43,00:19:21,00:21:05,00:23:04,00:25:46,00:28:25,00:30:11,00:31:50,00:01:31,00:02:24,00:04:47,00:02:36,00:02:25,00:05:38,00:01:44,00:01:59,00:02:42,00:02:39,00:01:46,00:01:39
5,6271,PANGAS,00:33:40,, ,,"Tevez Khamijou
Amorn Luthra","Pratheep Khanijoun
Sukhchareon",0:00:00,00:01:52,00:04:54,00:10:27,00:13:31,00:16:54,00:22:08,00:23:48,00:25:25,00:28:49,00:30:32,00:32:01,00:33:40,00:01:52,00:03:02,00:05:33,00:03:04,00:03:23,00:05:14,00:01:40,00:01:37,00:03:24,00:01:43,00:01:29,00:01:39
6,6281,Ujana Big boyz,00:35:18,, ,,"Muhamad Zharfan
Ammar Harith Bin Ahmad Amer","Ammar Shauqi Bin Ahmad Amer
Ahmad Amer Bin Awang",0:00:00,00:01:51,00:04:52,00:09:48,00:12:26,00:16:09,00:21:10,00:22:38,00:24:40,00:28:22,00:30:44,00:32:59,00:35:18,00:01:51,00:03:01,00:04:56,00:02:38,00:03:43,00:05:01,00:01:28,00:02:02,00:03:42,00:02:22,00:02:15,00:02:19
7,6251,ROTI CANAI THAI TEA,00:35:26,, ,,"Muhammad Redza Bin Bakhtiar
Paolo Rossi Anak Senin","Darick Lim
Muhamad Syafiq Bin",0:00:00,00:01:44,00:04:42,00:09:59,00:12:57,00:17:32,00:23:37,00:25:20,00:27:05,00:30:49,00:32:30,00:33:49,00:35:26,00:01:44,00:02:58,00:05:17,00:02:58,00:04:35,00:06:05,00:01:43,00:01:45,00:03:44,00:01:41,00:01:19,00:01:37
